,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,10005_ZBTB4_P1_ENSG00000174282,0,1,1,4,0,1,5,6,9,4,8,12,8,7,9,14,12,16,10,17,6,7,8,13,5,25,11,13,5,6,25,18,7,13,25,12,4,9,0,9,24,35,14,11,40,45,16,14,4,10,11,7,11,15,20,9,14,4,10,9,13,20,25,42,6,12,42,11,60,13,25,21,66,3,5,12,64,20,10,18,77,71,83,76,32,35,79,15,82,9,25,58,9,62,67,9,10,31,17
1,10020_ZC3H13_P1P2_ENSG00000123200,1,2,2,3,1,0,1,3,3,5,3,1,12,14,6,5,3,13,6,6,20,13,22,20,18,10,24,15,6,28,20,24,26,8,19,18,10,7,28,4,29,26,39,1,6,44,22,36,7,8,46,26,10,2,18,18,0,17,59,18,41,51,3,14,4,58,33,27,18,5,4,24,40,66,4,62,5,28,70,28,79,3,73,35,61,31,66,30,58,86,91,62,47,21,20,87,21,19,86
2,10023_ZC3H18_P1P2_ENSG00000158545,1,2,2,3,1,0,1,3,3,5,3,1,12,14,6,5,3,13,6,6,20,13,22,20,18,10,24,15,6,28,20,24,26,8,19,18,10,7,28,4,29,26,39,1,6,44,22,36,7,8,46,26,10,2,18,18,26,17,59,43,41,51,3,14,4,2,33,27,43,32,27,24,65,66,4,25,5,28,70,28,79,74,20,35,25,31,66,30,26,51,34,48,47,21,20,36,21,19,31
3,10024_ZC3H3_P1P2_ENSG00000014164,0,1,3,4,0,1,5,2,2,9,2,5,0,4,4,10,5,11,5,15,17,16,14,17,20,15,5,19,7,14,23,21,28,22,21,6,29,37,8,13,25,2,34,44,45,28,43,25,38,44,21,40,42,38,54,8,48,41,44,51,27,39,24,64,40,51,48,10,49,65,55,40,49,29,25,43,48,51,44,22,63,46,46,51,34,49,53,67,54,72,29,53,50,44,48,39,41,52,37
4,10025_ZC3H4_P1_ENSG00000130749,0,1,1,1,0,2,0,8,7,2,0,11,13,1,11,0,16,10,18,8,19,22,6,9,24,6,26,20,15,15,18,15,30,15,33,33,1,19,6,8,21,17,7,10,23,43,5,21,5,21,13,13,30,53,12,54,50,6,54,6,46,61,19,53,16,41,35,48,13,2,35,70,52,38,66,22,10,68,18,29,56,13,54,52,85,11,49,27,5,68,35,67,31,39,1,61,5,60,8
5,10029_ZC3H8_P1P2_ENSG00000144161,0,1,3,0,3,5,2,4,6,10,7,6,6,11,5,2,15,5,11,10,21,11,5,7,9,9,23,14,13,0,16,16,6,28,6,11,9,15,12,17,32,7,5,37,3,4,33,40,3,0,31,35,2,43,14,25,15,27,9,3,43,6,47,35,57,38,7,38,37,57,49,4,55,34,12,37,70,24,48,70,37,15,52,82,14,74,56,74,37,77,75,47,45,81,3,40,89,30,7
6,10040_ZCCHC9_P1P2_ENSG00000131732,0,1,1,4,0,1,5,2,9,4,8,8,4,13,2,4,7,1,5,15,17,16,14,17,20,15,5,19,7,23,23,21,28,22,18,6,30,23,33,13,11,38,41,7,2,7,1,30,39,23,41,41,22,25,44,20,20,44,38,56,2,15,61,4,19,35,17,54,9,7,63,62,28,45,33,27,72,5,29,61,31,64,36,74,3,7,34,44,42,34,16,27,20,23,33,66,95,46,2
7,10041_ZCRB1_P1P2_ENSG00000139168,1,2,2,1,2,2,3,0,0,8,5,3,11,12,7,3,8,4,14,2,13,17,9,24,15,3,10,7,14,10,31,6,2,14,32,23,7,17,5,5,2,10,33,5,11,25,28,13,35,16,37,27,35,48,27,11,16,56,32,50,8,21,22,10,28,8,60,53,59,11,0,30,71,32,46,58,45,56,15,13,16,34,11,29,43,5,83,80,35,48,54,57,11,9,42,8,2,4,42
8,1004_C17orf58_P1P2_ENSG00000186665,1,0,0,2,5,3,7,7,1,7,4,4,1,0,10,8,4,14,16,0,18,9,7,16,0,4,25,17,4,3,30,20,31,11,20,13,25,12,20,19,26,1,0,2,22,10,21,9,34,27,32,3,36,33,11,22,28,43,18,30,52,52,12,8,17,26,54,56,32,34,2,72,7,60,22,42,23,14,56,39,49,40,13,40,76,54,20,2,40,11,82,73,88,51,77,45,18,25,24
9,10054_ZDHHC7_P1P2_ENSG00000153786,1,2,2,3,2,2,3,0,0,8,5,3,11,12,7,3,8,4,14,2,13,17,9,24,15,3,10,26,14,10,31,6,13,14,32,23,7,17,35,5,2,10,33,5,11,25,28,1,35,16,37,27,35,48,27,11,16,56,32,50,8,21,22,10,28,8,60,53,59,11,0,30,71,32,46,58,45,56,15,13,16,34,11,29,43,71,58,47,0,48,54,57,70,9,42,8,82,49,42
